worksheet_id,worksheet_name,worksheet_type,current_list_status,prior_present,comparison_class,prior_version_count,current_version_count,version_count_delta,added_version_ids,removed_version_ids,prior_active_version_id,prior_active_version_number,prior_active_status,current_active_version_id,current_active_version_number,current_active_status,active_transition,newer_nonactive_versions,current_no_active,current_no_version,export_required_count,native_export_state,structural_comparison,note
112,[Logs] Gene Up Self-Test,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,386,1,APPROVED,386,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
113,[Logs] Tempo QC Check,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,387,1,APPROVED,387,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
114,[Logs] Tempo Data Export,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,,,,,,,remains_no_active,,true,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,No active version; latest draft/pending version is the policy-selected export target.
115,[Logs] Daily Balance Verification | 4 or 5 place,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,389,1,APPROVED,389,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
116,[Logs] Daily Balance Verification | 3 place,Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,391,2,APPROVED,391,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
117,[Logs] Environmental Temperature and Humidity | Sample Prep,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,393,1,APPROVED,393,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
118,[Logs] Environmental Temperature and Humidity | Instrument Room,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,394,1,APPROVED,394,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
119,[Logs] Environmental Temperature and Humidity | Microbial Room,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,395,1,APPROVED,395,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
120,Cold Storage Temperature | 4C,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,396,1,APPROVED,396,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
121,Cold Storage Temperature | -20C,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,397,1,APPROVED,397,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
122,Cold Storage Temperature | -70C,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,398,1,APPROVED,398,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
124,Incubator Temperature | 36C,Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,440,2,APPROVED,440,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
125,Incubator Temperature | 42C,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,439,1,APPROVED,439,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
126,[Logs] Daily Dispenser Verification | 20mL,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,441,1,APPROVED,441,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
127,[Logs] Daily Dispenser Verification | 3 mL,Spreadsheet,Active,true,version_metadata_unchanged,4,4,0,,,561,4,APPROVED,561,4,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
128,[Logs] Daily Dispenser Verification | 3.9 mL,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,444,1,APPROVED,444,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
129,[Logs] Daily Dispenser Verification | 20mL (ACN),Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,445,1,APPROVED,445,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
130,Incubator Temperature | 25C,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,447,1,APPROVED,447,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
131,[Logs] Daily Dispenser Verification | 3.6 mL,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,560,1,APPROVED,560,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
132,Cannabinoid Potency {Protocol WS} Preparation of Edible Samples,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,3,3,0,,,585,3,APPROVED,585,3,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
133,Cannabinoid Potency {Protocol WS} Preparation of Edible Samples Vortex/Sonicate,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,569,1,APPROVED,569,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
134,Cannabinoid Potency {Protocol WS} Preparation of Edible Samples QuEChERS,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,571,2,APPROVED,571,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
135,Cannabinoid Potency {Protocol WS} Preparation of Edible Samples Centrifuge,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,572,1,APPROVED,572,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
136,Cannabinoid Potency {Protocol WS} Preparation of Edible Samples Filter,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,573,1,APPROVED,573,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
137,Cannabinoid Potency {Protocol WS} Preparation of Beverage Samples,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,623,2,APPROVED,623,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
138,Cannabinoid Potency {Protocol WS} Preparation of Beverage Samples QuEChERS,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,576,1,APPROVED,576,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
139,Cannabinoid Potency {Protocol WS} Preparation of Beverage Samples Extraction,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,577,1,APPROVED,577,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
140,Cannabinoid Potency {Protocol WS} Preparation of Patch Samples,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,578,1,APPROVED,578,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
141,Cannabinoid Potency {Protocol WS} Preparation of Patch Samples Vortex/ Sonicate,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,580,2,APPROVED,580,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
142,Cannabinoid Potency {Protocol WS} Preparation of Patch Samples Filter/Dilution,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,581,1,APPROVED,581,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
143,Sample Dilution {Protocol WS},Dynamic Spreadsheet,Active,true,versions_added_active_changed,1,3,2,667;669,,582,1,APPROVED,669,3,APPROVED,changed,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
145,Cannabinoid Potency {Protocol WS} Preparation of Concentrate Samples,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,609,1,APPROVED,609,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
146,Cannabinoid Potency {Protocol WS} Preparation of Concentrate Samples Vortex/Sonicate,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,610,1,APPROVED,610,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
147,Cannabinoid Potency {Protocol WS} Preparation of Concentrate Samples Filter,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,611,1,APPROVED,611,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
148,Cannabinoid Potency {Protocol WS} Solution Prep,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,619,1,APPROVED,619,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
149,ZZZ_SANDBOX_ONLY_Prompt_4_6_Runtime_Probe_2026-07-16,Dynamic Spreadsheet,Inactive,false,new_object,,0,0,,,,,,,,,new_object,,true,true,0,not_applicable_no_version,not_performed_native_exports_blocked,New inactive object; no versions; production metadata labels it sandbox-only.
150,Pest (Quantitative Flower) [Protocol WS] Preparation of Lab Control Samples | Sample Preparation 1,Dynamic Spreadsheet,Active,false,new_object,,3,3,643;646;648,,,,,648,3,APPROVED,new_object,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
151,Pest (Quantitative Flower) [Protocol WS] Preparation of Samples | Sample Preparation 1,Dynamic Spreadsheet,Active,false,new_object,,1,1,644,,,,,,,,new_object,,true,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,No active version; latest draft/pending version is the policy-selected export target.
152,Pest (Quantitative Flower) [Protocol WS] Preparation of Standards | Sample Preparation 1,Dynamic Spreadsheet,Active,false,new_object,,2,2,645;651,,,,,651,2,APPROVED,new_object,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
153,Pest (Quantitative Flower) [Protocol WS] Preparation of Lab Control Samples | Sample Preparation 2,Dynamic Spreadsheet,Active,false,new_object,,2,2,647;649,,,,,649,2,APPROVED,new_object,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
154,Pest (Quantitative Flower) [Protocol WS] Preparation of Samples | Sample Preparation 2,Dynamic Spreadsheet,Active,false,new_object,,1,1,650,,,,,650,1,APPROVED,new_object,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
155,Pest (Quantitative Flower) [Protocol WS] Preparation of Standards | Sample Preparation 2,Dynamic Spreadsheet,Active,false,new_object,,1,1,652,,,,,652,1,APPROVED,new_object,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
156,Pest (Quantitative) [Protocol WS] Laboratory Control Requirements,Dynamic Spreadsheet,Active,false,new_object,,1,1,655,,,,,655,1,APPROVED,new_object,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
157,Pest (Quantitative) [Protocol WS] Calculations and Reporting of Results,Dynamic Spreadsheet,Active,false,new_object,,1,1,656,,,,,656,1,APPROVED,new_object,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
