automation_id,automation_name,action_sequence,action_type,destination_field_or_named_cell,source_expression_or_value,selected_values_json,all_nonempty_control_values_json,capture_state
3,Mycotoxin (Quantitative) Batch WS to Test WS,2,Set value on all Test Worksheets within the Batch,aflatoxinb2,"=VLOOKUP({{test.get_display_id()}},B39:H177,4,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""aflatoxinb2"",""=VLOOKUP({{test.get_display_id()}},B39:H177,4,0)""]",visible_configuration
3,Mycotoxin (Quantitative) Batch WS to Test WS,3,Set value on all Test Worksheets within the Batch,aflatoxing1,"=VLOOKUP({{test.get_display_id()}},B39:H177,5,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""aflatoxing1"",""=VLOOKUP({{test.get_display_id()}},B39:H177,5,0)""]",visible_configuration
3,Mycotoxin (Quantitative) Batch WS to Test WS,4,Set value on all Test Worksheets within the Batch,aflatoxing2,"=VLOOKUP({{test.get_display_id()}},B39:H177,6,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""aflatoxing2"",""=VLOOKUP({{test.get_display_id()}},B39:H177,6,0)""]",visible_configuration
3,Mycotoxin (Quantitative) Batch WS to Test WS,5,Set value on all Samples Test Worksheets within the Batch,ochratoxina,"=VLOOKUP({{test.get_display_id()}},B39:H177,7,0)","[""Set value on all Samples Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""ochratoxina"",""=VLOOKUP({{test.get_display_id()}},B39:H177,7,0)""]",visible_configuration
1,Heavy Metals Batch WS to Test WS,1,Set value on all Test Worksheets within the Batch,arsenic,"=VLOOKUP({{test.get_display_id()}},B19:H60,4,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""arsenic"",""=VLOOKUP({{test.get_display_id()}},B19:H60,4,0)""]",visible_configuration
1,Heavy Metals Batch WS to Test WS,2,Set value on all Test Worksheets within the Batch,cadmium,"=VLOOKUP({{test.get_display_id()}},B19:H60,5,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""cadmium"",""=VLOOKUP({{test.get_display_id()}},B19:H60,5,0)""]",visible_configuration
1,Heavy Metals Batch WS to Test WS,3,Set value on all Test Worksheets within the Batch,lead,"=VLOOKUP({{test.get_display_id()}},B15:H60,6,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""lead"",""=VLOOKUP({{test.get_display_id()}},B15:H60,6,0)""]",visible_configuration
1,Heavy Metals Batch WS to Test WS,4,Set value on all Test Worksheets within the Batch,mercury,"=VLOOKUP({{test.get_display_id()}},B15:H60,7,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""mercury"",""=VLOOKUP({{test.get_display_id()}},B15:H60,7,0)""]",visible_configuration
1,Heavy Metals Batch WS to Test WS,5,Set value on all Test Worksheets within the Batch,df,"=VLOOKUP({{test.get_display_id()}},B15:H60,3,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""df"",""=VLOOKUP({{test.get_display_id()}},B15:H60,3,0)""]",visible_configuration
15,Water Activity Protocol WS to Batch WS,1,Set value on Batch,wateractivity_0,,"[""Set value on Batch"",""Worksheet"",""Copy Value"",""From Worksheet""]","[""wateractivity_0""]",visible_configuration
5,test wa,1,Set value on Batch,wateractivity_0,,"[""Set value on Batch"",""Worksheet"",""Copy Value"",""From Worksheet""]","[""wateractivity_0""]",visible_configuration
2,Heavy Metals Batch WS to Test WS 2,1,Set value on all Test Worksheets within the Batch,arsenic,"=VLOOKUP({{get_display_id}},A1:F61,3,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""arsenic"",""=VLOOKUP({{get_display_id}},A1:F61,3,0)""]",visible_configuration
2,Heavy Metals Batch WS to Test WS 2,2,Set value on all Test Worksheets within the Batch,cadmium,"=VLOOKUP({{get_display_id}},A1:F61,4,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""cadmium"",""=VLOOKUP({{get_display_id}},A1:F61,4,0)""]",visible_configuration
2,Heavy Metals Batch WS to Test WS 2,3,Set value on all Test Worksheets within the Batch,lead,"=VLOOKUP({{get_display_id}},A1:F61,5,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""lead"",""=VLOOKUP({{get_display_id}},A1:F61,5,0)""]",visible_configuration
2,Heavy Metals Batch WS to Test WS 2,4,Set value on all Test Worksheets within the Batch,mercury,"=VLOOKUP({{get_display_id}},A1:F61,6,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""mercury"",""=VLOOKUP({{get_display_id}},A1:F61,6,0)""]",visible_configuration
